service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20241115,20241213
2,1,1,1,1,1,0,0,20241115,20241213
3,1,1,1,1,1,0,0,20241115,20241122
4,1,1,1,1,1,0,0,20241115,20241129
5,1,1,1,1,1,0,0,20241115,20241129
6,1,1,1,1,1,0,0,20241115,20241213
7,1,1,1,1,1,0,0,20241115,20241213
8,1,1,1,1,1,0,0,20241115,20241213
9,1,1,1,1,1,0,0,20241115,20241213
10,1,1,1,1,1,0,0,20241115,20241212
11,1,1,1,1,1,0,0,20241115,20241213
12,1,1,1,1,1,0,0,20241115,20241213
13,1,1,1,1,1,0,0,20241115,20241129
14,1,1,1,1,1,0,0,20241115,20241213
15,1,1,1,1,1,0,0,20241115,20241213
16,1,1,1,1,1,0,0,20241115,20241213
17,1,1,1,1,1,0,0,20241115,20241213
18,1,1,1,1,1,0,0,20241115,20241213
19,1,1,1,1,1,0,0,20241115,20241115
20,1,1,1,1,1,0,0,20241115,20241122
21,1,1,1,1,1,0,0,20241115,20241202
22,1,1,1,1,1,0,0,20241115,20241210
23,1,1,1,1,1,0,0,20241115,20241206
24,1,1,1,1,1,0,0,20241115,20241213
25,1,1,1,1,1,0,0,20241115,20241118
26,0,0,0,0,0,1,1,20241116,20241214
27,0,0,0,0,0,1,1,20241116,20241214
28,0,0,0,0,0,1,1,20241116,20241123
29,0,0,0,0,0,1,1,20241116,20241124
30,0,0,0,0,0,1,1,20241116,20241214
31,0,0,0,0,0,1,1,20241116,20241214
32,0,0,0,0,0,1,1,20241116,20241214
33,0,0,0,0,0,1,1,20241116,20241214
34,0,0,0,0,0,1,1,20241116,20241214
35,0,0,0,0,0,1,1,20241116,20241208
36,0,0,0,0,0,1,1,20241116,20241116
37,0,0,0,0,0,1,1,20241116,20241117
38,0,0,0,0,0,1,1,20241116,20241208
39,0,0,0,0,0,1,1,20241116,20241207
40,0,0,0,0,0,1,1,20241116,20241123
41,0,0,0,0,0,1,1,20241116,20241130
42,0,0,0,0,0,1,1,20241116,20241214
43,0,0,0,0,0,1,1,20241116,20241201
44,0,0,0,0,0,1,1,20241116,20241214
45,0,0,0,0,0,1,1,20241117,20241208
46,0,0,0,0,0,1,1,20241117,20241124
47,0,0,0,0,0,1,1,20241117,20241117
48,0,0,0,0,0,1,1,20241117,20241208
49,0,0,0,0,0,1,1,20241117,20241208
50,0,0,0,0,0,1,1,20241117,20241201
51,1,1,1,1,1,0,0,20241118,20241212
52,1,1,1,1,1,0,0,20241118,20241122
53,1,1,1,1,1,0,0,20241118,20241128
54,1,1,1,1,1,0,0,20241118,20241212
55,1,1,1,1,1,0,0,20241118,20241119
56,1,1,1,1,1,0,0,20241118,20241209
57,1,1,1,1,1,0,0,20241118,20241128
58,1,1,1,1,1,0,0,20241118,20241213
59,1,1,1,1,1,0,0,20241118,20241120
60,1,1,1,1,1,0,0,20241118,20241118
61,1,1,1,1,1,0,0,20241118,20241206
62,1,1,1,1,1,0,0,20241118,20241213
63,1,1,1,1,1,0,0,20241119,20241212
64,1,1,1,1,1,0,0,20241119,20241121
65,1,1,1,1,1,0,0,20241119,20241129
66,1,1,1,1,1,0,0,20241120,20241120
67,1,1,1,1,1,0,0,20241121,20241122
68,1,1,1,1,1,0,0,20241122,20241206
69,1,1,1,1,1,0,0,20241122,20241122
70,0,0,0,0,0,1,1,20241123,20241124
71,0,0,0,0,0,1,1,20241123,20241207
72,0,0,0,0,0,1,1,20241123,20241208
73,0,0,0,0,0,1,1,20241123,20241123
74,0,0,0,0,0,1,1,20241123,20241214
75,0,0,0,0,0,1,1,20241123,20241214
76,0,0,0,0,0,1,1,20241123,20241214
77,0,0,0,0,0,1,1,20241124,20241124
78,0,0,0,0,0,1,1,20241124,20241208
79,0,0,0,0,0,1,1,20241124,20241214
80,1,1,1,1,1,0,0,20241125,20241213
81,1,1,1,1,1,0,0,20241125,20241129
82,1,1,1,1,1,0,0,20241125,20241213
83,1,1,1,1,1,0,0,20241125,20241202
84,1,1,1,1,1,0,0,20241125,20241210
85,1,1,1,1,1,0,0,20241125,20241129
86,1,1,1,1,1,0,0,20241126,20241212
87,1,1,1,1,1,0,0,20241126,20241128
88,1,1,1,1,1,0,0,20241129,20241129
89,0,0,0,0,0,1,1,20241130,20241214
90,0,0,0,0,0,1,1,20241130,20241214
91,0,0,0,0,0,1,1,20241130,20241130
92,0,0,0,0,0,1,1,20241130,20241201
93,0,0,0,0,0,1,1,20241201,20241208
94,1,1,1,1,1,0,0,20241202,20241213
95,1,1,1,1,1,0,0,20241202,20241212
96,1,1,1,1,1,0,0,20241202,20241213
97,1,1,1,1,1,0,0,20241203,20241213
98,1,1,1,1,1,0,0,20241203,20241212
99,1,1,1,1,1,0,0,20241206,20241213
100,0,0,0,0,0,1,1,20241207,20241214
101,0,0,0,0,0,1,1,20241207,20241214
102,0,0,0,0,0,1,1,20241208,20241208
103,1,1,1,1,1,0,0,20241209,20241213
104,1,1,1,1,1,0,0,20241211,20241213
105,1,1,1,1,1,0,0,20241213,20241213
106,0,0,0,0,0,1,1,20241214,20241214
107,1,1,1,1,1,0,0,20241115,20241213
108,1,1,1,1,1,0,0,20241115,20241121
109,0,1,1,1,1,1,0,20241116,20241214
110,0,1,1,1,1,1,0,20241116,20241116
111,0,0,0,0,0,1,0,20241116,20241123
112,0,0,0,0,0,1,0,20241116,20241214
113,1,0,0,0,0,0,1,20241117,20241117
114,1,0,0,0,0,0,1,20241117,20241215
115,0,0,0,0,0,1,0,20241116,20241116
116,1,0,0,0,0,0,1,20241117,20241215
117,0,0,0,0,1,1,0,20241115,20241213
118,0,0,0,0,1,1,0,20241115,20241115
119,0,0,0,0,1,1,0,20241115,20241213
120,0,0,0,0,1,1,0,20241115,20241214
121,0,0,0,0,1,1,0,20241115,20241123
122,0,0,0,0,0,0,1,20241117,20241124
123,0,0,0,0,0,1,1,20241117,20241214
124,0,0,0,0,0,0,1,20241117,20241208
125,0,0,0,0,0,1,1,20241117,20241214
126,0,0,0,0,0,1,1,20241117,20241214
127,1,0,0,0,0,0,1,20241118,20241215
128,1,0,0,0,0,0,1,20241118,20241118
129,0,0,0,0,0,0,1,20241117,20241117
130,0,0,0,0,1,1,0,20241116,20241213
